شناسه محصول,نام محصول,دسته‌بندی,کارگردان,ژانر,امتیاز وزندار,تعداد امتیازها,تعداد نظرات,بازدید,دانلود,نام کاربر,ایمیل کاربر,امتیاز کاربر,نظر کاربر
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,loginTest,,3,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Ali741,ali741@example.com,5,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Zahra47,zahra47@example.com,2,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Fatemeh779,fatemeh779@example.com,3,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Amir456,amir456@example.com,1,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Maryam881,maryam881@example.com,4,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Kaveh21,kaveh21@example.com,1,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Pouria534,pouria534@example.com,5,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Elham952,elham952@example.com,1,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Behnam387,behnam387@example.com,2,
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Behnam387,behnam387@example.com,,صحنه‌های اکشن فوق‌العاده.
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Amir456,amir456@example.com,,نمی‌فهمم چرا اینقدر معروف شده!
64,Succession,سریال,جسی آرمسترانگ,درام,2.76,10,3,267,18,Mohammad363,mohammad363@example.com,,حس و حال خاصی داشت، متفاوت بود.
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Reza572,reza572@example.com,4,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Mohammad363,mohammad363@example.com,5,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Neda911,neda911@example.com,1,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Fatemeh779,fatemeh779@example.com,2,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Amir456,amir456@example.com,4,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Maryam881,maryam881@example.com,1,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Kaveh21,kaveh21@example.com,5,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Leyla445,leyla445@example.com,4,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Niloofar373,niloofar373@example.com,2,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Elham952,elham952@example.com,1,
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Behnam387,behnam387@example.com,,حتماً قسمت دوم را هم خواهم دید.
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Maryam881,maryam881@example.com,,وقت تلف کردن، اصلاً ارزش نداشت.
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Hossein94,hossein94@example.com,,تکرار مکررات، هیچ ایده جدیدی نداشت.
65,Better Call Saul,سریال,وینس گیلیگان,"جنایی, درام",3.11,10,4,288,43,Sara236,sara236@example.com,,چیزی که انتظار داشتم نبود.
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Neda911,neda911@example.com,3,
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Hossein94,hossein94@example.com,2,
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Zahra47,zahra47@example.com,2,
