شناسه,نام کاربری,ایمیل,تاریخ عضویت,تعداد لاگین,تعداد امتیازها,مجموع امتیازها,میانگین امتیاز,وضعیت (قدیمی/جدید)
1,kimiya,kimiyadavami@gmail.com,بدون پروفایل,0,0,0,0,نامشخص
6,Tuser,,2026-05-22,3,24,75,3.12,جدید
7,loginTest,,2026-05-23,5,26,78,3.00,جدید
8,Ali741,ali741@example.com,2026-05-22,10,28,96,3.43,جدید
9,Reza572,reza572@example.com,2026-04-11,16,27,92,3.41,قدیمی
10,Mohammad363,mohammad363@example.com,2026-05-03,13,20,70,3.50,قدیمی
11,Sara236,sara236@example.com,2026-05-12,19,21,71,3.38,قدیمی
12,Neda911,neda911@example.com,2026-04-17,16,39,115,2.95,قدیمی
13,Hossein94,hossein94@example.com,2026-03-30,2,30,90,3.00,جدید
14,Zahra47,zahra47@example.com,2026-04-19,13,31,87,2.81,قدیمی
15,Mahdi175,mahdi175@example.com,2026-04-10,13,34,122,3.59,قدیمی
16,Fatemeh779,fatemeh779@example.com,2026-05-18,15,33,103,3.12,جدید
17,Amir456,amir456@example.com,2026-05-07,18,40,114,2.85,قدیمی
18,Maryam881,maryam881@example.com,2026-04-26,6,29,73,2.52,قدیمی
19,Saman76,saman76@example.com,2026-04-23,19,24,69,2.88,قدیمی
20,Tara392,tara392@example.com,2026-04-21,18,25,58,2.32,قدیمی
21,Kaveh21,kaveh21@example.com,2026-05-10,8,28,87,3.11,قدیمی
22,Leyla445,leyla445@example.com,2026-04-15,16,29,96,3.31,قدیمی
23,Arman629,arman629@example.com,2026-04-10,3,21,69,3.29,جدید
24,Niloofar373,niloofar373@example.com,2026-05-19,19,38,122,3.21,جدید
25,Pouria534,pouria534@example.com,2026-04-20,18,20,73,3.65,قدیمی
26,Elham952,elham952@example.com,2026-05-14,11,23,71,3.09,جدید
27,Behnam387,behnam387@example.com,2026-05-20,11,27,79,2.93,جدید
